model,stage,accuracy,precision,recall,threshold,params_json,meets_accuracy_floor,accuracy_floor,model_path
logistic_regression,optimized_search,0.72225,0.5329167596518635,0.9487485101311085,0.24,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.731125,0.5416287534121929,0.9459674215335717,0.25,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.737,0.5476575121163166,0.9427890345649583,0.26,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.7425,0.5535003512058067,0.9392133492252682,0.27,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.74775,0.5593623602188913,0.9340484704012714,0.28,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.752375,0.5646094503375121,0.9304727850615813,0.29,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.75975,0.5729345427800931,0.9284862932061978,0.3,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.763875,0.5779156327543424,0.9253079062375844,0.31,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.768125,0.5832913940613991,0.920937624155741,0.32,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.77075,0.5868293923213832,0.9169646404449742,0.33,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.775125,0.5927169421487604,0.9117997616209773,0.34,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.7795,0.5984828668584881,0.9090186730234406,0.35,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.784,0.6046141607000796,0.9058402860548271,0.36,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.786875,0.6089055793991416,0.9018673023440604,0.37,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
logistic_regression,optimized_search,0.79,0.613506916192026,0.8986889153754469,0.38,"{""C"": 0.5, ""class_weight"": ""balanced""}",False,0.8545,
